1,o,o,x,
2,o,o,x,
3,x,,,
4,o,x,,
5,o,o,x,
6,o,o,x,
7,o,x,,
8,o,x,,
9,o,x,,
10,o,o,o,
11,o,x,,
12,o,x,,
13,o,o,o,
14,x,,,
15,o,x,x,enum型のクラス
16,o,x,,
17,o,x,,
18,o,x,,
19,o,o,x,
20,o,o,t,//コメントあり
21,x,,,
22,x,,,
23,x,,,
24,o,x,x,enum
25,o,x,,
26,o,o,o,
27,o,o,o,
28,x,,,
29,o,x,,
30,o,x,,
31,x,,,
32,o,o,x,
33,o,o,x,
34,o,o,o,
35,o,x,,enum
36,o,x,,
37,o,o,o,
38,o,x,,enum
39,o,o,t,
40,o,o,x,
41,o,o,x,
42,o,o,o,
43,o,o,x,
44,o,x,,
45,o,o,x,
46,o,o,x,
47,o,o,x,
48,o,o,x,
49,o,o,x,
50,o,x,,
51,o,o,x,
52,x,x,,
53,o,x,,
54,o,x,,
55,o,x,x,enum
56,x,,,
57,o,o,o,
58,x,,,
59,o,o,x,
60,x,,,
61,o,o,o,
62,o,o,x,
63,x,,,
64,o,o,x,
65,x,,,
66,o,x,,
67,o,x,,
68,o,o,x,
69,o,x,,
70,o,o,x,
71,x,,,
72,o,o,o,
73,o,x,,
74,o,x,,
75,o,o,x,
76,o,x,x,enum
77,o,o,o,
78,o,x,x,
79,o,x,,
80,o,o,x,
81,o,x,,
82,o,o,x,
83,x,,,
84,o,o,x,
85,o,o,x,
86,o,o,o,
87,x,,,
88,o,o,o,
89,o,o,o,
90,o,o,x,
91,x,,,
92,x,,,
93,o,o,o,
